,Name,Album,Artist,Link,Image
0,Ravana,Jai Lava Kusa,Devi Sri Prasad (DSP),https://upcdn.io/kW2K8G9/raw/%5BiSongs.info%5D%2001%20-%20Raavana.mp3,https://upload.wikimedia.org/wikipedia/en/c/c1/Jai_Lava_Kusa.jpg
1, Dhruva Dhruva , Dhruva,Hiphop Tamizha,https://upcdn.io/kW2K8G9/raw/angry/Dhruva%20Dhruva-SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/05/Dhruva-2016jpeg-300x300.jpg
2,Badass,Leo,Anirudh Ravichander,https://upcdn.io/kW2K8G9/raw/angry/Badass-MassTamilan.dev.mp3,https://c.saavncdn.com/046/Leo-Telugu-Original-Motion-Picture-Soundtrack-English-2023-20231020123601-500x500.jpg
3,Idhi Ranarangam,Ramayya Vasthavayya ,S S Thaman,https://upcdn.io/kW2K8G9/raw/angry/Idhi%20Ranarangam-SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/06/Ramayya-Vasthavayya-2013jpeg-300x300.jpg
4,Hukum,Jailer,Anirudh Ravichander,https://upcdn.io/kW2K8G9/raw/angry/Hukum.mp3,https://naasongs.com.co/wp-content/uploads/2023/07/Jailer-2023-Songs.jpg
5,Waka Waka,Valmiki,Mickey J Meyer,https://upcdn.io/kW2K8G9/raw/angry/%5BiSongs.info%5D%2003%20-%20Waka%20Waka%20(Telugu).mp3,https://c.saavncdn.com/305/Valmiki-Telugu-2019-20190912124556-500x500.jpg
6,Salaam Rocky Bhai,KGF,Ravi Basrur,https://upcdn.io/kW2K8G9/raw/angry/Salaam%20Rocky%20Bhai%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/11/KGF-jpeg.jpg
7, Toofan,KGF 2,Ravi Basrur,https://upcdn.io/kW2K8G9/raw/angry/Toofan.mp3,https://naasongs.com.co/wp-content/uploads/2019/06/KGF-2-Jpeg.jpg
8, Nippulaa Swasa Ga,BahuBali,M M Keeravani,https://upcdn.io/kW2K8G9/raw/angry/Nippulaa%20Swasa%20Ga-SenSongsMp3.Co.mp3,https://sensongs.co/wp-content/uploads/2019/04/Baahubali-2015jpeg.jpg
9,Aakaasam Nee Haddhu Ra,Aakaasam Nee Haddhu Ra,praksha kumar,https://upcdn.io/kW2K8G9/raw/angry/%5BiSongs.info%5D%2005%20-%20Aakaasam%20Nee%20Haddhu%20Ra.mp3,https://c.saavncdn.com/510/Maha-Theme-Telugu-From-Aakaasam-Nee-Haddhu-Ra--Telugu-2020-20200124062847-500x500.jpg
10,SYE Raa,sye raa narasimha reddy,Amit Trivedi,https://upcdn.io/kW2K8G9/raw/angry/%5BiSongs.info%5D%2001%20-%20Sye%20Raa.mp3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8HlHwewGXLSrcPdsq_gmk2ZdyK4yhtZ6VwQ&s
11, Neechamaina,Kirrak Party,Ajaneesh Lokanath,https://upcdn.io/kW2K8G9/raw/angry/Neechamaina%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/05/Kirrak-Party-2018jpeg-300x300.jpg
12,Urime Manese,Krishnarjuna Yudham,Hiphop Tamizha,https://upcdn.io/kW2K8G9/raw/angry/Urime%20Manase%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/05/Krishnarjuna-Yudham-2018jpeg-300x300.jpg
13,The Karma Theme,U Turn,Anirudh Ravichander,https://upcdn.io/kW2K8G9/raw/angry/The%20Karma%20Theme%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/09/U-Turn-jpeg.jpg
14,Rage Of Surya Bhai,Business man,SS Thaman,https://upcdn.io/kW2K8G9/raw/angry/%5BiSongs.info%5D%2007%20-%20Rage%20of%20Surya%20Bhai.mp3.crdownload,https://www.naasongs.co/wp-content/uploads/2014/03/Business-Man-2012.jpg
