,Name,Album,Artist,Link,Image
0,Raamuloo Ramulaa,Ala Vaikunthapurramuloo,Anurag Kulkarni,https://upcdn.io/kW2K8G9/raw/happy/Ramuloo%20Ramula%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2019/12/ala-vaikuntapuramlo-songs.jpg
1,Butta Bomma,Ala Vaikunthapurramuloo,Armaan Malik,https://upcdn.io/kW2K8G9/raw/happy/Buttabomma%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2019/12/ala-vaikuntapuramlo-songs.jpg
2,Dum Dare,kirrak Party,Ajaneesh Lokanath,https://upcdn.io/kW2K8G9/raw/happy/Dum%20Dare%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/05/Kirrak-Party-2018jpeg-300x300.jpg
3,Nee Kallu Neeli Samudram,Uppena,Javed Ali,https://upcdn.io/kW2K8G9/raw/happy/Nee%20Kannu%20Neeli%20Samudram%20-%20SenSongsMp3.Com%20(1).mp3,https://naasongs.com.co/wp-content/uploads/2021/02/Uppena-Songs-Naa-Songs-2021.jpg
4,Jai Balayya,Bhagavanth Kesari,Kareemullah,https://upcdn.io/kW2K8G9/raw/happy/Jai%20Balayya.mp3,https://naasongs.com.co/wp-content/uploads/2023/01/veera-simha-reddy-naa-songs.jpeg
5,Vachindamma,Geetha Govindam,Sid Sriram,https://upcdn.io/kW2K8G9/raw/happy/Vachindamma%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/08/Geetha-Govindam-jpeg-1.jpg
6,Na Roja Nuve,Kushi,Hesham Abdul Wahab,https://upcdn.io/kW2K8G9/raw/happy/Vachindamma%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2023/07/Kushi-2023.jpg
7,Bale Bale Magadivoy,Bale Bale Magadivoy,Karthik,https://upcdn.io/kW2K8G9/raw/happy/%5BiSongs.info%5D%2003%20-%20Bale%20Bale.mp3,https://www.naasongs.co/wp-content/uploads/2015/08/Bhale-Bhale-Magadivoi-2015.jpg
8,Raamuloo Ramulaa,Ala Vaikunthapurramuloo,Anurag Kulkarni,https://upcdn.io/kW2K8G9/raw/happy/Samajavaragamana%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2019/12/ala-vaikuntapuramlo-songs.jpg
9,Gudilo Badilo Madilo Vodilo,DJ,Karthik and Sathyavathi,https://upcdn.io/kW2K8G9/raw/happy/Gudilo%20Badilo%20Madilo-SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/05/Dj-Duvvada-Jagannadham-2017jpeg-300x300.jpg
10,Whattey Beauty,Bheeshma,Dhanunjay,https://upcdn.io/kW2K8G9/raw/happy/Whattey%20Beauty%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2020/02/bheeshma-2020.jpg
11,Nee Kannu Neeli Samudram,Uppena,Javed Ali,https://upcdn.io/kW2K8G9/raw/happy/Nee%20Kannu%20Neeli%20Samudram%20-%20SenSongsMp3.Com%20(1)-3Jg4.mp3,https://c.saavncdn.com/587/Uppena-Telugu-2020-20210218155246-500x500.jpg
12,Pilla Raa,RX 100,Anurag Kulkarni,https://upcdn.io/kW2K8G9/raw/happy/Pillaa%20Raa%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/07/RX-100-2018jpeg-300x300.jpg
13,Inthandham,Sita Ramam,SPB Charan,https://upcdn.io/kW2K8G9/raw/happy/Inthandham.mp3,https://naasongs.com.co/wp-content/uploads/2022/07/Sita-Ramam-2022-1.jpg
14,Eppudo Ninnu,Sita Ramam,SPB Charan,https://upcdn.io/kW2K8G9/raw/happy/Eppudo%20Ninnu.mp3,https://naasongs.com.co/wp-content/uploads/2022/07/Sita-Ramam-2022-1.jpg
