,Name,Album,Artist,Link,Image
0,Ay Pilla,Love Story,CH Pavan,https://upcdn.io/kW2K8G9/raw/angry/Ay%20Pilla%20-%20SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2021/09/Love-Story-2021.jpg
1,Sanchari,Radhe Shyam,Justin Prabhakaran,https://upcdn.io/kW2K8G9/raw/angry/Sanchari.mp3,https://naasongs.com.co/wp-content/uploads/2020/10/Radhe-Shyam-2021-jpeg.jpg
2,Andham Vadi Choopera,Master,Anirudh Ravichander,https://upcdn.io/kW2K8G9/raw/angry/Andham%20Vadi%20Choopera%20-%20SenSongsMp3.Com.mp3,https://naasongs.com.co/wp-content/uploads/2021/01/Master-2021-jpeg.jpg
3,Arey Rey,Happy Days,Mickey J Meyer,https://upcdn.io/kW2K8G9/raw/angry/01%20-%20Arey%20Rey%20-%20SenSongsMp3.co.mp3,https://naasongs.com.co/wp-content/uploads/2018/10/Happy-Days-2007jpeg.jpg
4,Winner,Love Story,CH Pavan,https://upcdn.io/kW2K8G9/raw/angry/Winner%20Winner%20Bro.mp3,https://naasongs.com.co/wp-content/uploads/2021/09/Love-Story-2021.jpg
5,Lallayire,Sankranthiki Vasthunam,Bheems Ceciroleo,https://upcdn.io/kW2K8G9/raw/angry/Lallayire.mp3,https://naasongs.com.co/wp-content/uploads/2025/01/Sankranthiki-Vasthunnam-Songs-Download-2025-Venkatesh-Meenakshi-Chaudhary-Aishwarya-Rajesh-1.jpg
6,Bad Boys,Businessman,S S Thaman,https://upcdn.io/kW2K8G9/raw/angry/Bad%20Boys-SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/06/Businessman-2012.jpg
7,Ee Raathale,Radhe Shyam,Justin Prabhakaran,https://upcdn.io/kW2K8G9/raw/angry/Ee%20Raathale.mp3,https://naasongs.com.co/wp-content/uploads/2020/10/Radhe-Shyam-2021-jpeg.jpg
8,Pillagali,Athadu,Mani Sharma,https://upcdn.io/kW2K8G9/raw/angry/Pillagali-SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/06/Athadu-jpeg-300x300.jpg
9,Lallayire,Sankranthiki Vasthunam,Bheems Ceciroleo,https://upcdn.io/kW2K8G9/raw/angry/Meenu.mp3,https://naasongs.com.co/wp-content/uploads/2025/01/Sankranthiki-Vasthunnam-Songs-Download-2025-Venkatesh-Meenakshi-Chaudhary-Aishwarya-Rajesh-1.jpg
10,Pilla Chao,Businessman,S S Thaman,https://upcdn.io/kW2K8G9/raw/angry/Pilla%20Chao-SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/06/Businessman-2012.jpg
11,Ammadi,Hi Nanna,Hesham Abdul Wahab,https://upcdn.io/kW2K8G9/raw/angry/Ammaadi.mp3,https://naasongs.com.co/wp-content/uploads/2023/09/Hi-Nanna-2023.jpg
12,Darlingey,Mirichi,Devi Sri Prasad,https://upcdn.io/kW2K8G9/raw/angry/2-Darlingey-SenSongsMp3.Co.mp3,https://naasongs.com.co/wp-content/uploads/2018/05/Mirchi-jpeg-300x300.jpg
13,Choti Choti,Maharshi,Devi Sri Prasad,https://upcdn.io/kW2K8G9/raw/angry/%5BiSongs.info%5D%2001%20-%20Choti%20Choti%20Baatein.mp3,https://www.naasongs.to/wp-content/uploads/2019/04/Maharshi-2019-Paala-Pitta-250x250.jpg
14,gaaju bomma,Hi Nanna,Hesham Abdul Wahab,https://upcdn.io/kW2K8G9/raw/angry/Gaaju%20Bomma.mp3,https://naasongs.com.co/wp-content/uploads/2023/09/Hi-Nanna-2023.jpg
